section,engine,variant,case,threads,ms,mb_s,size_mb,pixels_ok,note
full,GDAL GTiff,orig,default,1,1425.0,254,236.7,True,
full,GDAL LIBERTIFF,orig,default,1,1198.8,302,236.7,True,
full,tifffile,orig,default,1,1612.5,224,236.7,True,
full,GDAL GTiff,deflate-band-1024,default,1,1471.1,246,234.0,True,
full,GDAL LIBERTIFF,deflate-band-1024,default,1,1159.2,312,234.0,True,
full,tifffile,deflate-band-1024,default,1,1549.9,233,234.0,True,
full,GDAL GTiff,zstd-band-1024,default,1,874.1,414,230.4,True,
full,GDAL LIBERTIFF,zstd-band-1024,default,1,621.7,582,230.4,True,
full,tifffile,zstd-band-1024,default,1,1042.1,347,230.4,True,
full,GDAL GTiff,deflate-band-512,default,1,1472.3,246,232.8,True,
full,GDAL LIBERTIFF,deflate-band-512,default,1,1168.4,310,232.8,True,
full,tifffile,deflate-band-512,default,1,1675.9,216,232.8,True,
full,GDAL GTiff,none-band-1024,default,1,285.5,1267,380.6,True,
full,GDAL LIBERTIFF,none-band-1024,default,1,85.0,4254,380.6,True,
full,tifffile,none-band-1024,default,1,645.1,561,380.6,True,
full,rumi,planar>pfor@1024,"bytes, verify=False",1,439.4,823,249.8,True,
rumi,rumi,planar>pfor@1024,"path, verify=False",1,476.3,759,249.8,True,
window,rumi,planar>pfor@1024,"band 1 only, full extent",1,276.1,437,,True,
window,rumi,planar>pfor@1024,16x1024 aligned,1,57.6,874,,True,
window,rumi,planar>pfor@1024,16x1024 aligned b1,1,35.7,470,,True,
window,rumi,planar>pfor@1024,16x1024 offset-half,1,131.7,382,,True,
window,rumi,planar>pfor@1024,16x1024 offset-half b1,1,108.8,154,,True,
full,rumi,planar>pfor@1024@b,"bytes, verify=False",1,444.3,814,249.8,True,
rumi,rumi,planar>pfor@1024@b,"path, verify=False",1,484.5,746,249.8,True,
window,rumi,planar>pfor@1024@b,"band 1 only, full extent",1,147.5,817,,True,
window,rumi,planar>pfor@1024@b,16x1024 aligned,1,49.2,1024,,True,
window,rumi,planar>pfor@1024@b,16x1024 aligned b1,1,9.3,1795,,True,
window,rumi,planar>pfor@1024@b,16x1024 offset-half,1,129.9,387,,True,
window,rumi,planar>pfor@1024@b,16x1024 offset-half b1,1,36.2,463,,True,
full,rumi,planar>pfor@512,"bytes, verify=False",1,441.7,819,249.7,True,
rumi,rumi,planar>pfor@512,"path, verify=False",1,500.3,723,249.7,True,
window,rumi,planar>pfor@512,"band 1 only, full extent",1,275.3,438,,True,
window,rumi,planar>pfor@512,16x1024 aligned,1,50.6,994,,True,
window,rumi,planar>pfor@512,16x1024 aligned b1,1,28.1,597,,True,
window,rumi,planar>pfor@512,16x1024 offset-half,1,51.7,974,,True,
window,rumi,planar>pfor@512,16x1024 offset-half b1,1,29.5,570,,True,
full,rumi,planar>zstd@1024,"bytes, verify=False",1,766.3,472,224.2,True,
rumi,rumi,planar>zstd@1024,"path, verify=False",1,793.7,456,224.2,True,
window,rumi,planar>zstd@1024,"band 1 only, full extent",1,592.7,203,,True,
window,rumi,planar>zstd@1024,16x1024 aligned,1,96.3,523,,True,
window,rumi,planar>zstd@1024,16x1024 aligned b1,1,73.2,229,,True,
window,rumi,planar>zstd@1024,16x1024 offset-half,1,291.8,172,,True,
window,rumi,planar>zstd@1024,16x1024 offset-half b1,1,267.1,63,,True,
rumi,rumi,planar>pfor@1024,"bytes, verify=True",1,476.0,760,249.8,True,
rumi,rumi,planar>pfor@1024@b,"bytes, verify=True",1,463.7,780,249.8,True,
rumi,rumi,planar>pfor@512,"bytes, verify=True",1,465.5,777,249.7,True,
rumi,rumi,planar>zstd@1024,"bytes, verify=True",1,839.3,431,224.2,True,
window,GDAL GTiff,orig,16x1024 aligned,1,169.5,297,,True,
window,GDAL GTiff,orig,16x1024 aligned b1,1,165.8,101,,True,
window,GDAL GTiff,orig,16x1024 offset-half,1,465.0,108,,True,
window,GDAL GTiff,orig,16x1024 offset-half b1,1,463.0,36,,True,
window,GDAL GTiff,orig,"band 1 only, full extent",1,1334.1,90,,True,
window,GDAL LIBERTIFF,orig,16x1024 aligned,1,163.6,308,,True,
window,GDAL LIBERTIFF,orig,16x1024 aligned b1,1,162.6,103,,True,
window,GDAL LIBERTIFF,orig,16x1024 offset-half,1,643.8,78,,True,
window,GDAL LIBERTIFF,orig,16x1024 offset-half b1,1,630.0,27,,True,
window,GDAL LIBERTIFF,orig,"band 1 only, full extent",1,1144.4,105,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 aligned,1,171.4,294,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 aligned b1,1,57.5,292,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 offset-half,1,488.0,103,,True,
